"","Airline.ID","Destination.Airport.ID","Source.Airport.ID","Airline","Source.Airport","Destination.Airport","Codeshare","Stops","Equipment","Source_Name","Source_City","Source_Country","Source_IATA","Source_ICAO","Source_Lat","Source_Long","Source_Alt","Source_TZ","Source_DST","dest_Name","dest_City","dest_Country","dest_IATA","dest_ICAO","dest_Lat","dest_Long","dest_Alt","dest_TZ","dest_DST","Airline_Name","Airline_Alias","Airline_IATA","Airline_ICAO","Airline_Callsign","Airline_Country","Airline_Active"
"33509","407","267","260","W3","ABV","ILR","",0,"CR9","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Ilorin","Ilorin","Nigeria","ILR","DNIL",8.440211,4.493919,1126,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33511","407","260","267","W3","ILR","ABV","",0,"CR9","Ilorin","Ilorin","Nigeria","ILR","DNIL",8.440211,4.493919,1126,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33513","407","6730","260","W3","ABV","QOW","",0,"73G DH4","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Imo Airport","Imo","Nigeria","QOW","DNIM",5.42706,7.20603,373,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33515","407","260","273","W3","LOS","ABV","",0,"738 CR9 73G","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33516","407","273","263","W3","CBQ","LOS","",0,"73G CR9","Calabar","Calabar","Nigeria","CBQ","DNCA",4.976019,8.347197,210,1,"N","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33517","407","260","263","W3","CBQ","ABV","",0,"73G","Calabar","Calabar","Nigeria","CBQ","DNCA",4.976019,8.347197,210,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33518","407","260","271","W3","MIU","ABV","",0,"73G","Maiduguri","Maiduguri","Nigeria","MIU","DNMA",11.855347,13.08095,1099,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33519","407","260","6972","W3","QRW","ABV","",0,"DH4","Warri Airport","Osubi","Nigeria","QRW","DNSU",5.31,5.45,50,1,"U","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33522","407","262","260","W3","ABV","BNI","",0,"CR9 73G","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Benin","Benin","Nigeria","BNI","DNBE",6.316981,5.599503,258,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33523","407","273","270","W3","KAN","LOS","",0,"DH4","Mallam Aminu Intl","Kano","Nigeria","KAN","DNKN",12.047589,8.524622,1562,1,"N","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33525","407","260","276","W3","SKO","ABV","",0,"CR9 73G","Sadiq Abubakar Iii Intl","Sokoto","Nigeria","SKO","DNSO",12.916322,5.207189,1010,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33526","407","273","262","W3","BNI","LOS","",0,"73G","Benin","Benin","Nigeria","BNI","DNBE",6.316981,5.599503,258,1,"N","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33527","407","262","273","W3","LOS","BNI","",0,"73G","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Benin","Benin","Nigeria","BNI","DNBE",6.316981,5.599503,258,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33529","407","260","270","W3","KAN","ABV","",0,"DH4","Mallam Aminu Intl","Kano","Nigeria","KAN","DNKN",12.047589,8.524622,1562,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33530","407","260","262","W3","BNI","ABV","",0,"CR9 73G","Benin","Benin","Nigeria","BNI","DNBE",6.316981,5.599503,258,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33531","407","270","260","W3","ABV","KAN","",0,"DH4","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Mallam Aminu Intl","Kano","Nigeria","KAN","DNKN",12.047589,8.524622,1562,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"47048","5209","273","275","UA","PHC","LOS","Y",0,"333","Port Harcourt Intl","Port Hartcourt","Nigeria","PHC","DNPO",5.015494,6.949594,87,1,"N","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","United Airlines","\N","UA","UAL","UNITED","United States","Y"
"48950","5209","275","273","UA","LOS","PHC","Y",0,"333","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Port Harcourt Intl","Port Hartcourt","Nigeria","PHC","DNPO",5.015494,6.949594,87,1,"N","United Airlines","\N","UA","UAL","UNITED","United States","Y"
