ID,Airline.ID,Destination.Airport.ID,Source.Airport.ID,Airline,Source.Airport,Destination.Airport,Codeshare,Stops,Equipment,Source_Name,Source_City,Source_Country,Source_IATA,Source_ICAO,Source_Lat,Source_Long,Source_Alt,Source_TZ,Source_DST,dest_Name,dest_City,dest_Country,dest_IATA,dest_ICAO,dest_Lat,dest_Long,dest_Alt,dest_TZ,dest_DST,Airline_Name,Airline_Alias,Airline_IATA,Airline_ICAO,Airline_Callsign,Airline_Country,Airline_Active
14840,2183,273,2188,EK,DXB,LOS,,0,77W,Dubai Intl,Dubai,United Arab Emirates,DXB,OMDB,25.252778,55.364444,62,4,U,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Emirates,Emirates Airlines,EK,UAE,EMIRATES,United Arab Emirates,Y
15122,2220,970,273,ET,LOS,LBV,Y,0,73W,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Leon M Ba,Libreville,Gabon,LBV,FOOL,0.4586,9.412283,39,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15147,2220,1107,264,ET,ENU,ADD,,0,738,Enugu,Enugu,Nigeria,ENU,DNEN,6.474272,7.561961,466,1,N,Bole Intl,Addis Ababa,Ethiopia,ADD,HAAB,8.977889,38.799319,7656,3,U,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15161,2220,298,260,ET,ABV,LFW,Y,0,DH8,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Gnassingbe Eyadema Intl,Lome,Togo,LFW,DXXX,6.165611,1.254511,72,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15190,2220,273,298,ET,LFW,LOS,,0,73W,Gnassingbe Eyadema Intl,Lome,Togo,LFW,DXXX,6.165611,1.254511,72,1,N,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15193,2220,260,999,ET,NDJ,ABV,Y,0,DH8,Ndjamena Hassan Djamous,N'djamena,Chad,NDJ,FTTJ,12.133689,15.034019,968,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15202,2220,260,245,ET,COO,ABV,Y,0,DH8,Cadjehoun,Cotonou,Benin,COO,DBBB,6.357228,2.384353,19,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15203,2220,245,260,ET,ABV,COO,Y,0,DH8,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Cadjehoun,Cotonou,Benin,COO,DBBB,6.357228,2.384353,19,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15207,2220,264,1107,ET,ADD,ENU,,0,738,Bole Intl,Addis Ababa,Ethiopia,ADD,HAAB,8.977889,38.799319,7656,3,U,Enugu,Enugu,Nigeria,ENU,DNEN,6.474272,7.561961,466,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15214,2220,1107,273,ET,LOS,ADD,,0,77L,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Bole Intl,Addis Ababa,Ethiopia,ADD,HAAB,8.977889,38.799319,7656,3,U,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
